Risk Level,Number of Provinces,Total Earthquakes (Sum),Total Major Earthquakes (Sum),Avg Total Earthquakes,Avg Major Earthquakes,Avg Fault Distance (km),Avg Magnitude,Max Magnitude,Avg Depth
Low,51,13262,2060,260.04,40.39,9.95,2.35,6.4,31.79
Medium,32,99574,23433,3111.69,732.28,1.49,2.47,7.4,24.89
