province,risk_level,total_quakes,major_quakes_m3plus,nearest_fault_km,avg_magnitude,max_magnitude,min_magnitude,avg_depth,max_depth,risk_cluster,is_outlier
Cataduanes,Low,7,0,300.0,2.47,2.9,2.0,22.29,51.0,0,False
Davao del Norte,Low,5,2,0.0,2.52,3.5,2.0,15.8,36.0,0,False
Compostella Valley,Low,5,0,300.0,2.28,2.6,2.0,5.0,13.0,0,False
Davao del Sur,Low,4,0,0.0,2.3,2.7,1.9,19.0,26.0,0,False
Masbate (Ticao Island,Low,3,0,300.0,2.3,2.4,2.2,29.33,50.0,0,False
 Davao De Oro,Low,3,0,300.0,2.47,2.8,2.1,31.67,48.0,0,False
Easterm Samar,Low,2,2,300.0,3.45,3.5,3.4,11.0,13.0,0,False
South Cotobato,Low,2,0,300.0,1.9,2.3,1.5,27.5,30.0,0,False
(Iloilo,Low,1,0,0.0,2.2,2.2,2.2,59.0,59.0,0,False
Agusan De Sur,Low,1,0,300.0,2.1,2.1,2.1,33.0,33.0,0,False
 Occidental Mindoro ,Low,1,0,0.0,2.4,2.4,2.4,3.0,3.0,0,False
 Bukidnon ,Low,1,0,0.0,2.4,2.4,2.4,10.0,10.0,0,False
 Davao Occidental,Low,1,0,300.0,1.9,1.9,1.9,17.0,17.0,0,False
 Occidental Mindoro,Low,1,0,0.0,2.3,2.3,2.3,32.0,32.0,0,False
 Surigao Del Norte,Low,1,0,0.0,2.3,2.3,2.3,29.0,29.0,0,False
Batanagas,Low,1,0,300.0,2.4,2.4,2.4,75.0,75.0,0,False
Lanao del Norte,Low,1,0,0.0,2.5,2.5,2.5,16.0,16.0,0,False
Lanao Del Nortel,Low,1,1,300.0,3.2,3.2,3.2,9.0,9.0,0,False
Island Garden City of Samal (Davao Del Norte,Low,1,0,300.0,2.9,2.9,2.9,28.0,28.0,0,False
La union,Low,1,0,0.0,2.5,2.5,2.5,26.0,26.0,0,False
Davao de Oro,Low,1,0,300.0,2.2,2.2,2.2,43.0,43.0,0,False
Eastren Samar,Low,1,1,300.0,4.6,4.6,4.6,33.0,33.0,0,False
General Luna,Low,1,0,300.0,2.1,2.1,2.1,22.0,22.0,0,False
Eatern Samar,Low,1,0,300.0,2.9,2.9,2.9,12.0,12.0,0,False
Davao Orientall,Low,1,0,300.0,2.1,2.1,2.1,27.0,27.0,0,False
Davao Occidentall,Low,1,1,300.0,3.6,3.6,3.6,120.0,120.0,0,False
Davao Orinetal,Low,1,0,300.0,2.8,2.8,2.8,15.0,15.0,0,False
CamarinesSur,Low,1,0,300.0,1.4,1.4,1.4,13.0,13.0,0,False
Camarines Surl,Low,1,1,300.0,3.0,3.0,3.0,8.0,8.0,0,False
Negros Occedental,Low,1,0,300.0,2.1,2.1,2.1,20.0,20.0,0,False
National Capital Region,Low,1,0,300.0,1.1,1.1,1.1,25.0,25.0,0,False
Northen Samar,Low,1,0,300.0,2.3,2.3,2.3,50.0,50.0,0,False
Occ.mindoro,Low,1,0,300.0,1.8,1.8,1.8,30.0,30.0,0,False
Occidental,Low,1,1,300.0,3.8,3.8,3.8,23.0,23.0,0,False
Nuevq Ecija,Low,1,0,300.0,2.7,2.7,2.7,56.0,56.0,0,False
Nueva Vizcaya ,Low,1,0,0.0,2.4,2.4,2.4,6.0,6.0,0,False
Oriemtal Mindoro,Low,1,1,300.0,3.4,3.4,3.4,8.0,8.0,0,False
Oriental,Low,1,0,300.0,2.4,2.4,2.4,15.0,15.0,0,False
Saranggani,Low,1,0,300.0,2.3,2.3,2.3,20.0,20.0,0,False
San Isidro,Low,1,1,300.0,3.7,3.7,3.7,10.0,10.0,0,False
Surigao De Norte,Low,1,0,300.0,2.7,2.7,2.7,13.0,13.0,0,False
Suquijor,Low,1,0,300.0,2.1,2.1,2.1,21.0,21.0,0,False
Saragani,Low,1,1,300.0,3.7,3.7,3.7,32.0,32.0,0,False
S.leyte,Low,1,0,300.0,2.9,2.9,2.9,29.0,29.0,0,False
San Mariano,Low,1,0,300.0,2.9,2.9,2.9,17.0,17.0,0,False
Sutan Kudarat,Low,1,1,300.0,3.5,3.5,3.5,1.0,1.0,0,False
Surigao de Sur,Low,1,1,300.0,3.1,3.1,3.1,76.0,76.0,0,False
SurigaoDel Norte,Low,1,1,300.0,3.0,3.0,3.0,13.0,13.0,0,False
