Risk Level,Number of Provinces,Total Earthquakes (Sum),Total Major Earthquakes (Sum),Avg Total Earthquakes,Avg Major Earthquakes,Avg Fault Distance (km),Avg Magnitude,Max Magnitude,Avg Depth
Low,107,12618,1834,117.93,17.14,121.82,2.5,6.4,29.67
Medium,35,100218,23659,2863.37,675.97,29.14,2.49,7.4,24.64
