date_time,latitude,longitude,depth,magnitude,location
28 February 2021 - 11:27 PM,08.90,126.20,045,3.4,012km S 53° W of Bayabas (Surigao Del Sur)
28 February 2021 - 10:50 PM,06.93,126.66,154,2.8,027km S 61° E of Tarragona (Davao Oriental)
28 February 2021 - 09:54 PM,08.85,126.20,026,1.9,012km N 10° W of San Agustin (Surigao Del Sur)
28 February 2021 - 08:17 PM,09.00,126.42,016,3.0,016km N 78° E of Bayabas (Surigao Del Sur)
28 February 2021 - 08:05 PM,06.61,125.10,023,2.6,017km S 20° W of Magsaysay (Davao Del Sur)
28 February 2021 - 07:17 PM,09.95,126.14,012,3.1,010km S 40° E of Burgos (Surigao Del Norte)
28 February 2021 - 06:44 PM,17.98,120.75,023,2.0,010km N 88° E of Banna (Ilocos Norte)
28 February 2021 - 05:33 PM,08.21,123.12,013,3.4,004km S 04° E of Siayan (Zamboanga Del Norte)
28 February 2021 - 05:22 PM,15.31,121.35,017,1.9,010km S 27° W of Dingalan (Aurora)
28 February 2021 - 04:48 PM,15.84,122.60,009,3.0,070km S 47° E of Casiguran (Aurora)
28 February 2021 - 03:32 PM,13.53,120.32,002,2.5,020km N 52° W of Paluan (Occidental Mindoro)
28 February 2021 - 03:05 PM,08.58,125.53,020,2.8,028km S 58° W of City Of Bayugan (Agusan Del Sur)
28 February 2021 - 07:22 AM,09.00,126.45,032,2.0,019km N 78° E of Bayabas (Surigao Del Sur)
28 February 2021 - 06:33 AM,18.42,120.87,006,1.8,006km S 39° W of Adams (Ilocos Norte)
28 February 2021 - 05:34 AM,06.30,126.41,049,3.1,054km S 43° E of Governor Generoso (Davao Oriental)
28 February 2021 - 05:07 AM,10.33,126.09,006,3.0,034km N 03° E of Burgos (Surigao Del Norte)
28 February 2021 - 03:46 AM,19.82,121.74,017,2.3,059km S 14° W of Sabtang (Batanes)
28 February 2021 - 03:24 AM,18.46,120.67,033,1.8,007km S 28° E of Burgos (Ilocos Norte)
28 February 2021 - 03:16 AM,08.57,126.45,032,1.9,026km N 30° E of Hinatuan (Surigao Del Sur)
28 February 2021 - 02:39 AM,17.72,121.15,018,3.1,021km S 65° W of Conner (Apayao)
28 February 2021 - 02:37 AM,09.49,122.91,009,2.5,027km S 03° W of Mabinay (Negros Oriental)
28 February 2021 - 12:33 AM,08.26,125.39,004,2.7,033km N 64° E of City Of  Malaybalay (Bukidnon)
27 February 2021 - 11:50 PM,09.76,126.03,033,1.8,003km N 77° W of Dapa (Surigao Del Norte)
27 February 2021 - 11:37 PM,17.42,120.50,033,1.9,010km N 87° W of Pilar (Abra)
