date_time,latitude,longitude,depth,magnitude,location
31 December 2024 - 11:35 PM,11.80,125.94,015,3.0,053km N 84° E of San Julian (Eastern Samar)
31 December 2024 - 11:22 PM,12.77,121.06,012,1.8,026km N 31° E of Calintaan (Occidental Mindoro)
31 December 2024 - 11:04 PM,09.98,126.10,021,2.5,005km S 37° E of Burgos (Surigao Del Norte)
31 December 2024 - 10:15 PM,15.05,119.35,007,2.2,074km S 54° W of Palauig (Zambales)
31 December 2024 - 10:00 PM,11.15,124.69,001,2.1,011km S 68° W of Jaro (Leyte)
31 December 2024 - 09:24 PM,11.84,124.16,003,2.5,016km S 61° W of Almagro (Samar)
31 December 2024 - 08:34 PM,09.22,126.09,026,2.2,003km S 67° E of Lanuza (Surigao Del Sur)
31 December 2024 - 07:37 PM,15.38,121.84,020,2.1,052km S 35° E of Baler (Aurora)
31 December 2024 - 07:32 PM,09.61,126.10,035,2.0,015km S 85° E of Socorro (Surigao Del Norte)
31 December 2024 - 07:30 PM,09.02,126.87,001,3.1,064km N 80° E of Cagwait (Surigao Del Sur)
31 December 2024 - 07:16 PM,15.43,121.95,017,2.7,055km S 48° E of Baler (Aurora)
31 December 2024 - 05:28 PM,09.78,125.43,027,1.6,001km N 74° E of San Francisco (Surigao Del Norte)
31 December 2024 - 03:20 PM,17.02,120.16,019,2.0,030km N 53° W of Luna (La Union)
31 December 2024 - 03:17 PM,14.53,119.70,031,2.3,063km S 43° W of San Antonio (Zambales)
31 December 2024 - 01:53 PM,05.99,127.05,064,2.9,131km S 56° E of Governor Generoso (Davao Oriental)
31 December 2024 - 01:45 PM,17.40,120.63,012,2.7,003km S 71° E of Pilar (Abra)
31 December 2024 - 01:08 PM,18.57,120.91,005,2.2,008km N 83° W of Santa Praxedes (Cagayan)
31 December 2024 - 12:25 PM,14.37,120.48,123,2.5,007km S 13° W of Mariveles (Bataan)
31 December 2024 - 12:21 PM,09.69,126.16,023,2.1,010km S 01° W of General Luna (Surigao Del Norte)
31 December 2024 - 12:11 PM,08.86,126.03,029,1.4,009km S 08° W of San Miguel (Surigao Del Sur)
31 December 2024 - 11:56 AM,07.49,125.35,010,2.4,029km N 57° E of Arakan (Cotabato)
31 December 2024 - 11:39 AM,13.23,123.92,010,1.8,013km N 26° E of Manito (Albay)
31 December 2024 - 11:36 AM,13.71,120.56,105,2.2,016km S 31° W of Calatagan (Batangas)
31 December 2024 - 07:51 AM,13.93,119.86,027,3.0,030km N 75° W of Lubang (Occidental Mindoro)
31 December 2024 - 07:45 AM,14.21,123.50,027,1.8,033km N 52° E of Siruma (Camarines Sur)
31 December 2024 - 07:22 AM,18.50,120.76,013,2.5,012km S 82° E of Burgos (Ilocos Norte)
31 December 2024 - 06:29 AM,07.22,124.42,004,2.6,007km N 69° W of Northern Kabuntalan (Maguindanao Del Norte)
31 December 2024 - 06:14 AM,13.22,123.83,011,2.4,006km S 69° E of Santo Domingo (Albay)
31 December 2024 - 06:10 AM,13.28,122.24,002,3.0,018km S 75° E of Torrijos (Marinduque)
31 December 2024 - 05:55 AM,05.17,125.89,133,3.0,057km S 54° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
31 December 2024 - 03:36 AM,15.97,122.41,003,2.5,046km S 42° E of Casiguran (Aurora)
31 December 2024 - 03:34 AM,06.57,123.69,033,2.1,040km N 87° W of Kalamansig (Sultan Kudarat)
31 December 2024 - 03:21 AM,05.21,127.50,137,4.0,220km S 69° E of Jose Abad Santos (Davao Occidental)
31 December 2024 - 02:43 AM,02.33,126.03,082,4.2,347km S 11° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
31 December 2024 - 02:40 AM,09.98,124.19,005,3.0,005km N 43° W of Danao (Bohol)
31 December 2024 - 02:22 AM,07.45,125.72,036,2.2,003km East of Braulio E. Dujali (Davao Del Norte)
31 December 2024 - 02:19 AM,17.64,119.27,027,3.2,116km N 87° W of Santa Catalina (Ilocos Sur)
31 December 2024 - 01:45 AM,17.64,122.03,021,1.6,026km N 87° E of Peñablanca (Cagayan)
31 December 2024 - 12:59 AM,17.60,119.25,016,3.1,118km N 90° W of Santa Catalina (Ilocos Sur)
31 December 2024 - 12:36 AM,18.58,120.71,018,2.2,008km N 49° W of Bangui (Ilocos Norte)
31 December 2024 - 12:36 AM,08.93,126.48,024,2.1,020km N 87° E of Cagwait (Surigao Del Sur)
30 December 2024 - 11:04 PM,05.75,124.58,013,3.0,027km S 11° W of Kiamba (Sarangani)
30 December 2024 - 10:17 PM,09.22,122.51,023,2.2,025km S 34° W of Basay (Negros Oriental)
30 December 2024 - 10:17 PM,17.69,119.38,015,2.5,105km N 84° W of Santa Catalina (Ilocos Sur)
30 December 2024 - 09:27 PM,18.58,120.70,016,2.4,009km N 54° W of Bangui (Ilocos Norte)
30 December 2024 - 08:52 PM,17.43,120.29,012,2.2,017km S 67° W of Santa (Ilocos Sur)
30 December 2024 - 07:37 PM,08.67,126.11,007,1.8,005km N 18° E of Lianga (Surigao Del Sur)
30 December 2024 - 07:26 PM,14.08,119.29,020,3.0,093km N 75° W of Lubang (Occidental Mindoro)
30 December 2024 - 06:39 PM,14.78,119.84,024,1.8,033km S 55° W of San Antonio (Zambales)
30 December 2024 - 06:33 PM,07.86,122.72,001,2.7,007km N 17° E of Naga (Zamboanga Sibugay)
30 December 2024 - 06:07 PM,09.98,125.73,015,4.0,009km N 47° E of Cagdianao (Dinagat Islands)
30 December 2024 - 05:37 PM,11.81,125.67,005,1.8,023km S 88° E of Sulat (Eastern Samar)
30 December 2024 - 05:04 PM,18.39,120.81,008,2.6,017km S 17° E of Bangui (Ilocos Norte)
30 December 2024 - 02:54 PM,05.43,126.38,001,2.6,097km S 57° E of Jose Abad Santos (Davao Occidental)
