date_time,latitude,longitude,depth,magnitude,location
31 July 2023 - 11:48 PM,10.48,126.27,034,2.1,055km N 22° E of Burgos (Surigao Del Norte)
31 July 2023 - 11:47 PM,09.33,125.90,014,2.5,007km S 50° W of Carrascal (Surigao Del Sur)
31 July 2023 - 11:25 PM,13.62,120.62,063,1.7,022km N 32° W of Abra De Ilog (Occidental Mindoro)
31 July 2023 - 10:31 PM,05.37,126.46,040,2.5,109km S 56° E of Jose Abad Santos (Davao Occidental)
31 July 2023 - 10:28 PM,09.82,121.90,020,2.2,059km N 85° W of City Of Sipalay (Negros Occidental)
31 July 2023 - 09:56 PM,13.36,121.49,015,1.9,021km N 80° E of Naujan (Oriental Mindoro)
31 July 2023 - 09:48 PM,17.50,120.68,010,2.8,005km S 43° W of Bucay (Abra)
31 July 2023 - 07:41 PM,19.02,121.19,008,2.9,010km S 08° W of Dalupiri Island (Calayan) (Cagayan)
31 July 2023 - 06:52 PM,13.64,120.31,005,2.6,011km S 39° E of Looc (Occidental Mindoro)
31 July 2023 - 06:43 PM,16.55,120.85,005,2.0,007km N 17° E of Bokod (Benguet)
31 July 2023 - 04:40 PM,03.18,126.49,105,3.9,274km S 26° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
31 July 2023 - 04:14 PM,09.37,125.62,004,2.7,011km S 28° E of Alegria (Surigao Del Norte)
31 July 2023 - 01:46 PM,07.31,126.56,112,3.4,003km S 10° W of Caraga (Davao Oriental)
31 July 2023 - 11:25 AM,17.27,120.00,028,1.8,047km S 86° W of Santiago (Ilocos Sur)
31 July 2023 - 09:57 AM,12.62,124.74,017,2.7,022km N 73° W of Pambujan (Northern Samar)
31 July 2023 - 08:59 AM,13.31,120.78,062,2.9,015km S 20° E of Abra De Ilog (Occidental Mindoro)
31 July 2023 - 07:08 AM,06.51,126.43,006,2.9,042km S 68° E of Governor Generoso (Davao Oriental)
31 July 2023 - 06:39 AM,06.44,127.49,023,2.5,142km S 60° E of Tarragona (Davao Oriental)
31 July 2023 - 05:14 AM,09.23,126.94,017,3.2,078km N 68° E of Bayabas (Surigao Del Sur)
31 July 2023 - 04:54 AM,18.15,120.84,074,2.0,002km N 59° E of Carasi (Ilocos Norte)
31 July 2023 - 04:29 AM,04.62,125.09,013,2.8,094km S 23° W of Balut Island (Municipality Of Sarangani) (Davao Occidental)
31 July 2023 - 03:58 AM,09.64,126.18,035,1.7,016km S 08° E of General Luna (Surigao Del Norte)
31 July 2023 - 03:02 AM,09.36,126.31,015,2.0,016km N 54° E of Cortes (Surigao Del Sur)
31 July 2023 - 01:52 AM,13.47,120.19,018,1.9,029km S 12° W of Looc (Occidental Mindoro)
31 July 2023 - 01:33 AM,09.76,124.40,001,2.6,010km N 89° W of Guindulman (Bohol)
31 July 2023 - 01:18 AM,07.89,125.00,014,2.6,010km S 83° W of City Of Valencia (Bukidnon)
31 July 2023 - 12:47 AM,13.51,120.30,002,2.2,024km S 14° E of Looc (Occidental Mindoro)
31 July 2023 - 12:33 AM,08.81,126.31,029,2.3,002km N 45° E of Marihatag (Surigao Del Sur)
31 July 2023 - 12:00 AM,16.79,122.51,009,2.9,032km S 15° E of Palanan (Isabela)
30 July 2023 - 11:33 PM,06.48,126.63,008,2.5,066km S 18° E of Tarragona (Davao Oriental)
30 July 2023 - 09:44 PM,06.52,126.39,062,2.5,038km S 68° E of Governor Generoso (Davao Oriental)
30 July 2023 - 08:41 PM,07.49,127.16,034,2.9,066km S 82° E of Baganga (Davao Oriental)
30 July 2023 - 05:48 PM,07.73,124.22,007,2.8,003km S 39° E of Lumbaca-unayan (Lanao Del Sur)
30 July 2023 - 05:39 PM,07.17,125.56,024,2.2,018km S 44° W of City Of Panabo (Davao Del Norte)
30 July 2023 - 03:30 PM,11.62,121.20,041,1.7,051km S 47° W of Caluya (Antique)
30 July 2023 - 02:31 PM,17.67,122.41,109,2.3,036km N 30° E of Maconacon (Isabela)
30 July 2023 - 02:06 PM,10.52,125.33,132,2.4,018km S 86° E of Silago (Southern Leyte)
30 July 2023 - 01:28 PM,13.69,120.64,112,2.0,016km S 02° E of Calatagan (Batangas)
30 July 2023 - 01:05 PM,14.35,120.37,117,2.4,016km S 55° W of Mariveles (Bataan)
30 July 2023 - 11:42 AM,19.31,121.05,022,2.0,028km N 37° W of Dalupiri Island (Calayan) (Cagayan)
30 July 2023 - 11:41 AM,17.76,120.51,032,1.8,006km N 71° E of San Juan (Ilocos Sur)
30 July 2023 - 10:58 AM,14.10,120.43,105,1.8,022km N 83° W of Nasugbu (Batangas)
30 July 2023 - 09:45 AM,17.63,122.40,054,2.8,032km N 31° E of Maconacon (Isabela)
30 July 2023 - 09:30 AM,08.42,125.99,013,2.0,004km N 16° W of Rosario (Agusan Del Sur)
30 July 2023 - 08:37 AM,07.74,126.92,005,2.8,044km N 65° E of Baganga (Davao Oriental)
30 July 2023 - 08:36 AM,09.77,122.25,025,2.4,020km N 89° W of City Of Sipalay (Negros Occidental)
30 July 2023 - 06:22 AM,17.66,122.37,062,2.4,034km N 24° E of Maconacon (Isabela)
30 July 2023 - 05:18 AM,16.12,120.27,018,2.1,010km N 01° E of Binmaley (Pangasinan)
30 July 2023 - 05:11 AM,16.78,119.90,027,2.8,043km N 01° E of Bolinao (Pangasinan)
30 July 2023 - 05:04 AM,13.68,120.54,091,2.4,020km S 31° W of Calatagan (Batangas)
30 July 2023 - 04:56 AM,18.47,120.38,010,2.3,029km S 80° W of Burgos (Ilocos Norte)
30 July 2023 - 04:30 AM,09.47,126.48,028,2.1,038km N 56° E of Cortes (Surigao Del Sur)
30 July 2023 - 04:19 AM,14.05,120.46,051,1.6,019km S 80° W of Nasugbu (Batangas)
30 July 2023 - 04:14 AM,04.80,125.25,047,2.2,070km S 16° W of Balut Island (Municipality Of Sarangani) (Davao Occidental)
30 July 2023 - 04:08 AM,21.03,122.14,150,2.9,041km N 50° E of Itbayat (Batanes)
30 July 2023 - 03:56 AM,17.37,120.87,006,1.6,005km S 78° E of Boliney (Abra)
30 July 2023 - 03:49 AM,17.44,120.79,004,1.5,004km S 63° E of Sallapadan (Abra)
30 July 2023 - 03:43 AM,17.53,120.56,034,1.5,005km S 74° E of San Quintin (Abra)
30 July 2023 - 02:16 AM,18.97,121.10,011,2.3,019km S 37° W of Dalupiri Island (Calayan) (Cagayan)
30 July 2023 - 01:29 AM,07.52,124.49,034,1.7,013km N 88° E of Buldon (Maguindanao Del Norte)
30 July 2023 - 12:44 AM,15.52,121.33,033,1.6,007km N 09° W of Gabaldon (Nueva Ecija)
30 July 2023 - 12:35 AM,09.71,124.49,028,1.8,006km South of Guindulman (Bohol)
29 July 2023 - 11:57 PM,14.32,120.42,104,1.7,014km S 30° W of Mariveles (Bataan)
29 July 2023 - 10:43 PM,17.88,120.18,022,2.1,030km N 87° W of Sinait (Ilocos Sur)
29 July 2023 - 10:01 PM,07.54,122.38,023,1.6,008km S 33° W of Tungawan (Zamboanga Sibugay)
29 July 2023 - 09:45 PM,17.86,120.17,019,2.3,031km N 76° W of Cabugao (Ilocos Sur)
29 July 2023 - 07:01 PM,18.04,121.42,029,1.5,019km S 01° E of Flora (Apayao)
29 July 2023 - 06:37 PM,09.66,125.74,098,3.3,008km N 34° E of Gigaquit (Surigao Del Norte)
29 July 2023 - 06:21 PM,07.76,123.05,020,1.5,003km N 14° W of Buug (Zamboanga Sibugay)
29 July 2023 - 06:10 PM,06.57,124.26,013,1.6,014km N 27° W of Senator Ninoy Aquino (Sultan Kudarat)
29 July 2023 - 05:53 PM,03.30,126.35,036,3.8,256km S 24° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
29 July 2023 - 04:10 PM,14.26,120.40,123,2.1,022km S 27° W of Mariveles (Bataan)
29 July 2023 - 04:06 PM,15.41,122.06,010,2.3,059km N 27° E of Panukulan (Quezon)
29 July 2023 - 01:23 PM,16.41,120.31,034,2.1,013km S 08° W of Bauang (La Union)
29 July 2023 - 01:08 PM,03.07,128.06,033,4.0,391km S 48° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
29 July 2023 - 08:09 AM,19.09,121.16,034,2.2,006km S 65° W of Dalupiri Island (Calayan) (Cagayan)
29 July 2023 - 07:09 AM,06.87,123.81,009,2.6,032km S 46° W of Datu Blah T. Sinsuat (Maguindanao Del Norte)
29 July 2023 - 07:00 AM,06.22,126.39,110,3.1,059km S 36° E of Governor Generoso (Davao Oriental)
29 July 2023 - 06:46 AM,11.33,125.02,019,2.2,008km N 48° W of Basey (Samar)
29 July 2023 - 06:16 AM,04.30,125.88,143,3.6,133km S 22° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
29 July 2023 - 06:13 AM,09.54,125.68,012,2.3,007km S 59° W of Claver (Surigao Del Norte)
29 July 2023 - 06:10 AM,09.90,126.19,044,2.0,010km N 67° E of Pilar (Surigao Del Norte)
29 July 2023 - 05:41 AM,16.35,122.02,009,2.3,014km N 56° W of Casiguran (Aurora)
29 July 2023 - 05:32 AM,08.96,122.53,005,2.0,051km S 14° W of Basay (Negros Oriental)
29 July 2023 - 05:03 AM,17.71,120.89,101,1.7,007km N 50° W of Lacub (Abra)
29 July 2023 - 04:37 AM,05.88,125.83,149,2.9,021km S 80° E of Jose Abad Santos (Davao Occidental)
