date_time,latitude,longitude,depth,magnitude,location
30 June 2019 - 11:41 PM,09.52,126.06,044,3.0,015km S 42° E of Socorro (Surigao Del Norte)
30 June 2019 - 08:11 PM,05.88,125.93,187,2.7,"035
      km S 89° E of Jose Abad Santos (Davao Occidental)"
30 June 2019 - 07:29 PM,05.33,127.39,170,3.3,"206km S 
      45° E of Governor Generoso (Davao Oriental)"
30 June 2019 - 07:19 PM,07.75,126.61,031,2.6,018km S 75° E of Cateel (Davao Oriental)
30 June 2019 - 07:15 PM,13.72,125.12,001,2.5,"0779km 
      S 85° E of Gigmoto (Catanduanes)"
30 June 2019 - 05:24 PM,09.70,126.08,022,2.2,007km S 28° E of Dapa (Dinagat)
30 June 2019 - 04:55 PM,09.97,126.07,033,2.1,006km S 02° E of Burgos (Surigao Del Norte)
30 June 2019 - 04:03 PM,08.21,126.86,013,2.9,"053
      km N 69° E of Lingig (Surigao Del Sur)"
30 June 2019 - 03:58 PM,08.19,126.85,018,2.7,060km S 70° E of Hinatuan (Surigao Del Sur)
30 June 2019 - 03:42 PM,05.78,125.72,056,2.9,016km S 47° E of Jose Abad Santos (Davao Occidental)
30 June 2019 - 03:32 PM,15.07,120.29,032,1.6,018km N 31° E of Castillejos (Zambales)
30 June 2019 - 02:41 PM,17.34,120.39,039,2.1,006km N 84° W of San Esteban (Ilocos Sur)
30 June 2019 - 02:40 PM,08.46,126.65,019,2.2,"036
      km N 73° E of Hinatuan (Surigao Del Sur)"
30 June 2019 - 02:30 PM,08.34,126.14,033,1.9,021km S 83° W of Hinatuan (Surigao Del Sur)
30 June 2019 - 12:01 PM,08.32,125.72,029,1.9,011km N 88° W of La Paz (Agusan Del Sur)
30 June 2019 - 11:21 AM,08.27,125.83,019,2.2,005km S 20° E of La Paz (Agusan Del Sur)
30 June 2019 - 10:45 AM,08.49,126.80,001,2.6,052km N 75° E of Hinatuan (Surigao Del Sur)
30 June 2019 - 10:14 AM,09.81,126.29,014,3.5,"015
      km N 78° E of General Luna (Surigao Del Norte)"
30 June 2019 - 09:40 AM,13.17,124.20,082,3.1,008km S 74° E of Rapu-rapu (Albay)
30 June 2019 - 09:10 AM,06.90,123.76,001,4.0,039km N 77° W of South Upi (Maguindanao)
30 June 2019 - 08:36 AM,08.36,126.46,001,2.3,014km S 87° E of Hinatuan (Surigao Del Sur)
30 June 2019 - 07:40 AM,08.32,125.71,024,1.9,011km N 85° W of La Paz (Agusan Del Sur)
30 June 2019 - 06:52 AM,19.94,120.30,001,2.5,"142
      km N 60° W of Calayan (Cagayan)"
30 June 2019 - 05:02 AM,11.92,125.64,22,2.1,021km S 54° W of Dolores (Eastern Samar)
30 June 2019 - 04:12 AM,09.68,124.85,026,2.1,035km S 43° W of Limasawa (Southern Leyte)
30 June 2019 - 03:42 AM,17.94,120.87,081,3.2,020km N 18° W of Tineg (Abra)
30 June 2019 - 03:59 AM,09.66,124.90,022,1.6,034km S 34° W of Limasawa (Southern Leyte)
30 June 2019 - 03:00 AM,09.60,124.95,030,5.0,038km S 20° W of Limasawa (Southern Leyte)
30 June 2019 - 02:20 AM,15.94,124.75,033,1.7,219km N 17° E of Pandan (Catanduanes)
30 June 2019 - 01:00 AM,08.29,125.86,022,2.2,005km S 62° E of La Paz (Agusan Del Sur)
30 June 2019 - 12:50 AM,13.59,121.45,008,1.9,027km S 12° E of San Juan (Batangas)
30 June 2019 - 12:20 AM,11.24,124.60,005,2.3,008km S 34° W of Capoocan (Leyte)
30 June 2019 - 12:02 AM,08.48,126.66,031,2.2,038km N 71° E of Hinatuan (Surigao Del Sur)
29 June 2019 - 11:54 PM,19.08,120.94,011,3.2,054km N 16° W of Claveria (Cagayan)
29 June 2019 - 11:46 PM,13.44,123.62,009,2.2,022km N 39° E of Polangui (Albay)
29 June 2019 - 11:19 PM,11.74,125.17,017,1.7,032km S 75° W of Sulat (Eastern Samar)
29 June 2019 - 10:21 PM,17.03,121.53,026,2.1,018km N 25° E of Alfonso Lista (Potia) (Ifugao)
29 June 2019 - 10:15 PM,15.04,120.25,033,1.7,013km N 21° E of Castillejos (Zambales)
29 June 2019 - 09:45 PM,09.57,126.20,017,2.1,024km S 11° E of General Luna (Surigao Del Norte)
29 June 2019 - 09:02 PM,08.42,126.27,023,1.9,030km N 82° E of Rosario (Agusan Del Sur)
29 June 2019 - 08:54 PM,11.75,125.28,049,3.5,019km S 89° W of San Julian (Eastern Samar)
29 June 2019 - 08:24 PM,13.98,120.11,010,2.7,014km N 05° W of Lubang (Occidental Mindoro)
29 June 2019 - 07:51 PM,12.62,124.99,029,2.5,006km N 21° W of Laoang (Northern Samar)
29 June 2019 - 07:05 PM,15.04,120.00,027,2.7,008km S 72° W of San Felipe (Zambales)
29 June 2019 - 04:08 PM,08.26,127.19,002,4.8,088km N 74° E of Lingig (Surigao Del Sur)
29 June 2019 - 03:19 PM,17.59,121.03,006,2.6,019km N 36° E of Daguioman (Abra)
29 June 2019 - 01:02 PM,08.28,127.13,001,3.8,083km N 71° E of Lingig (Surigao Del Sur)
29 June 2019 - 10:57 AM,17.25,119.96,007,2.4,052km N 83° W of Candon City (Ilocos Sur)
29 June 2019 - 09:43 AM,16.36,121.02,012,2.6,005km N 21° W of Aritao (Nueva Vizcaya)
29 June 2019 - 07:27 AM,08.33,126.91,003,2.7,063km S 86° E of Hinatuan (Surigao Del Sur)
29 June 2019 - 07:16 AM,08.78,122.55,016,1.9,062km S 59° W of Siaton (Negros Oriental)
29 June 2019 - 07:12 AM,09.00,125.93,025,1.7,013km N 63° W of San Miguel (Surigao Del Sur)
