row_id,volcanic_advisory
Batangas_2023_09_21,1
Batangas_2023_09_15,1
Batangas_2023_07_13,1
Batangas_2023_06_07,1
Batangas_2023_06_04,1
Batangas_2023_06_02,1
Batangas_2022_10_21,1
Batangas_2022_09_29,1
Batangas_2022_09_25,1
Batangas_2022_08_12,1
Batangas_2022_08_07,1
Batangas_2022_08_03,1
Batangas_2022_07_11,1
Batangas_2022_04_09,1
Batangas_2022_03_26,1
Batangas_2022_01_29,1
Batangas_2021_11_03,1
Batangas_2021_08_19,1
Batangas_2021_07_23,1
Batangas_2021_07_03,1
Batangas_2021_07_01,1
Batangas_2021_06_30,1
Batangas_2021_06_29,1
Batangas_2021_06_28,1
Batangas_2021_06_12,1
Batangas_2021_05_18,1
Batangas_2021_03_24,1
Batangas_2021_03_09,1
Batangas_2021_02_15,1
Batangas_2020_11_11,1
Batangas_2020_03_19,1
Batangas_2020_02_14,1
Batangas_2020_01_26,1
Batangas_2020_01_12,1
Batangas_2019_12_01,1
Batangas_2019_03_28,1
