north,south,east,west
22.60093460178090300,3.88833435457181050,128.61964701092236000,115.38308567921389000
22.60093460178090300,11.68569526646782300,126.29851857928999000,115.38308567921389000
22.60093460178090300,17.14331493412436200,120.84080212925194000,115.38308567921389000
22.60093460178090300,19.87212476795263400,118.11194390423292000,115.38308567921389000
22.60093460178090300,21.23652968486676700,116.74751479172340000,115.38308567921389000
22.60093460178090300,21.23652968486676700,118.11194390423292000,116.74751479172340000
21.23652968486676700,19.87212476795263400,116.74751479172340000,115.38308567921389000
21.23652968486676700,19.87212476795263400,118.11194390423292000,116.74751479172340000
22.60093460178090300,19.87212476795263400,120.84080212925194000,118.11194390423292000
22.60093460178090300,21.23652968486676700,119.47637301674243000,118.11194390423292000
22.60093460178090300,21.23652968486676700,120.84080212925194000,119.47637301674243000
21.23652968486676700,19.87212476795263400,119.47637301674243000,118.11194390423292000
21.23652968486676700,19.87212476795263400,120.84080212925194000,119.47637301674243000
19.87212476795263400,17.14331493412436200,118.11194390423292000,115.38308567921389000
19.87212476795263400,18.50771985103849800,116.74751479172340000,115.38308567921389000
19.87212476795263400,18.50771985103849800,118.11194390423292000,116.74751479172340000
18.50771985103849800,17.14331493412436200,116.74751479172340000,115.38308567921389000
18.50771985103849800,17.14331493412436200,118.11194390423292000,116.74751479172340000
19.87212476795263400,17.14331493412436200,120.84080212925194000,118.11194390423292000
19.87212476795263400,18.50771985103849800,119.47637301674243000,118.11194390423292000
19.87212476795263400,18.50771985103849800,120.84080212925194000,119.47637301674243000
18.50771985103849800,17.14331493412436200,119.47637301674243000,118.11194390423292000
18.50771985103849800,17.14331493412436200,120.84080212925194000,119.47637301674243000
22.60093460178090300,17.14331493412436200,126.29851857928999000,120.84080212925194000
22.60093460178090300,19.87212476795263400,123.56966035427097000,120.84080212925194000
22.60093460178090300,21.23652968486676700,122.20523124176145000,120.84080212925194000
22.60093460178090300,21.23652968486676700,123.56966035427097000,122.20523124176145000
21.23652968486676700,19.87212476795263400,122.20523124176145000,120.84080212925194000
21.23652968486676700,19.87212476795263400,123.56966035427097000,122.20523124176145000
22.60093460178090300,19.87212476795263400,126.29851857928999000,123.56966035427097000
22.60093460178090300,21.23652968486676700,124.93408946678048000,123.56966035427097000
