Risk Level,Number of Provinces,Total Earthquakes (Sum),Total Major Earthquakes (Sum),Avg Total Earthquakes,Avg Major Earthquakes,Avg Magnitude,Max Magnitude,Avg Depth
Low,99,13377,2044,135.12,20.65,2.52,6.4,30.03
Medium,34,100967,23716,2969.62,697.53,2.48,7.4,24.97
