Risk Level,Number of Provinces,Total Earthquakes (Sum),Total Major Earthquakes (Sum),Avg Total Earthquakes,Avg Major Earthquakes,Avg Fault Distance (km),Avg Magnitude,Max Magnitude,Avg Depth
Low,50,13261,2060,265.22,41.2,10.14,2.35,6.4,32.3
Medium,32,99574,23433,3111.69,732.28,1.49,2.47,7.4,24.89
